Time: 0.0502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.1002 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.1502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.2002 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.2502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.3001 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.3502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.4002 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.4502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.5001 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.5501 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.6002 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.6502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.7002 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.7502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.8002 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.8502 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.9002 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.9502 | Z_err: 1.7 | Theta_err: 0.0
Time: 1.0002 | Z_err: 1.7 | Theta_err: 0.0
Time: 1.0502 | Z_err: 1.7 | Theta_err: 0.0
Time: 1.1002 | Z_err: 1.7 | Theta_err: 0.0
Time: 1.1502 | Z_err: 1.6 | Theta_err: 0.0
Time: 1.2002 | Z_err: 1.6 | Theta_err: 0.0
Time: 1.2502 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.3002 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.3502 | Z_err: 1.4 | Theta_err: 0.0
Time: 1.4002 | Z_err: 1.4 | Theta_err: 0.0
Time: 1.4502 | Z_err: 1.3 | Theta_err: 0.0
Time: 1.5002 | Z_err: 1.3 | Theta_err: 0.0
Time: 1.5502 | Z_err: 1.2 | Theta_err: 0.0
Time: 1.6002 | Z_err: 1.2 | Theta_err: 0.0
Time: 1.6502 | Z_err: 1.1 | Theta_err: 0.0
Time: 1.7002 | Z_err: 1.1 | Theta_err: 0.0
Time: 1.7502 | Z_err: 1.0 | Theta_err: 0.0
Time: 1.8002 | Z_err: 1.0 | Theta_err: 0.0
Time: 1.8502 | Z_err: 0.9 | Theta_err: 0.0
Time: 1.9002 | Z_err: 0.9 | Theta_err: 0.0
Time: 1.9502 | Z_err: 0.8 | Theta_err: 0.0
Time: 2.0002 | Z_err: 0.8 | Theta_err: 0.0
Time: 2.0501 | Z_err: 0.7 | Theta_err: 0.0
Time: 2.1002 | Z_err: 0.7 | Theta_err: 0.0
Time: 2.1502 | Z_err: 0.6 | Theta_err: 0.0
Time: 2.2002 | Z_err: 0.6 | Theta_err: 0.0
Time: 2.2502 | Z_err: 0.5 | Theta_err: 0.0
Time: 2.3002 | Z_err: 0.5 | Theta_err: 0.0
Time: 2.3502 | Z_err: 0.5 | Theta_err: 0.0
Time: 2.4002 | Z_err: 0.5 | Theta_err: 0.0
Time: 2.4502 | Z_err: 0.4 | Theta_err: 0.0
