Time: 0.0502 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.1004 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.1504 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.2004 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.2503 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.3004 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.3503 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.4004 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.4504 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.5003 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.5504 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.6004 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.6504 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.7004 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.7504 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.8004 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.8504 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.9003 | Z_err: 1.5 | Theta_err: 0.0
Time: 0.9504 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.0004 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.0504 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.1004 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.1504 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.2004 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.2503 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.3002 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.3502 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.4003 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.4504 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.5002 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.5503 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.6002 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.6504 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.7002 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.7504 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.8004 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.8504 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.9004 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.9504 | Z_err: 1.5 | Theta_err: 0.0
Time: 2.0004 | Z_err: 1.5 | Theta_err: 0.0
Time: 2.0503 | Z_err: 1.5 | Theta_err: 0.0
