Time: 0.0502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.1002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.1502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.2002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.2502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.3002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.3502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.4002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.4502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.5002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.5502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.6002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.6502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.7002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.7502 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.8002 | X_err: 0 | Y_err: 0 | Z_err: 1.8 | Theta_err: 0.0
Time: 0.8502 | X_err: 0 | Y_err: 0 | Z_err: 1.7 | Theta_err: 0.0
Time: 0.9002 | X_err: 0 | Y_err: 0 | Z_err: 1.7 | Theta_err: 0.0
Time: 0.9502 | X_err: 0 | Y_err: 0 | Z_err: 1.7 | Theta_err: 0.0
Time: 1.0002 | X_err: 0 | Y_err: 0 | Z_err: 1.7 | Theta_err: 0.0
Time: 1.0502 | X_err: 0 | Y_err: 0 | Z_err: 1.6 | Theta_err: 0.0
Time: 1.1002 | X_err: 0 | Y_err: 0 | Z_err: 1.6 | Theta_err: 0.0
Time: 1.1502 | X_err: 0 | Y_err: 0 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.2001 | X_err: 0 | Y_err: 0 | Z_err: 1.5 | Theta_err: 0.0
Time: 1.2502 | X_err: 0 | Y_err: 0 | Z_err: 1.3 | Theta_err: 0.0
Time: 1.3002 | X_err: 0 | Y_err: 0 | Z_err: 1.3 | Theta_err: 0.0
Time: 1.3502 | X_err: 0 | Y_err: 0 | Z_err: 1.2 | Theta_err: 0.0
Time: 1.4002 | X_err: 0 | Y_err: 0 | Z_err: 1.2 | Theta_err: 0.0
Time: 1.4502 | X_err: 0 | Y_err: 0 | Z_err: 1.1 | Theta_err: 0.0
Time: 1.5002 | X_err: 0 | Y_err: 0 | Z_err: 1.1 | Theta_err: 0.0
Time: 1.5502 | X_err: 0 | Y_err: 0 | Z_err: 1.0 | Theta_err: 0.0
Time: 1.6001 | X_err: 0 | Y_err: 0 | Z_err: 1.0 | Theta_err: 0.0
Time: 1.6502 | X_err: 0 | Y_err: 0 | Z_err: 0.9 | Theta_err: 0.0
Time: 1.7001 | X_err: 0 | Y_err: 0 | Z_err: 0.9 | Theta_err: 0.0
Time: 1.7502 | X_err: 0 | Y_err: 0 | Z_err: 0.8 | Theta_err: 0.0
Time: 1.8001 | X_err: 0 | Y_err: 0 | Z_err: 0.8 | Theta_err: 0.0
Time: 1.8502 | X_err: 0 | Y_err: 0 | Z_err: 0.7 | Theta_err: 0.0
Time: 1.9001 | X_err: 0 | Y_err: 0 | Z_err: 0.7 | Theta_err: 0.0
Time: 1.9503 | X_err: 0 | Y_err: 0 | Z_err: 0.6 | Theta_err: 0.0
Time: 2.0001 | X_err: 0 | Y_err: 0 | Z_err: 0.6 | Theta_err: 0.0
Time: 2.0502 | X_err: 0 | Y_err: 0 | Z_err: 0.6 | Theta_err: 0.0
Time: 2.1002 | X_err: 0 | Y_err: 0 | Z_err: 0.6 | Theta_err: 0.0
Time: 2.1502 | X_err: 0 | Y_err: 0 | Z_err: 0.6 | Theta_err: 0.0
Time: 2.2002 | X_err: 0 | Y_err: 0 | Z_err: 0.5 | Theta_err: 0.0
Time: 2.2502 | X_err: 0 | Y_err: 0 | Z_err: 0.5 | Theta_err: 0.0
Time: 2.3002 | X_err: 0 | Y_err: 0 | Z_err: 0.4 | Theta_err: 0.0
Time: 2.3502 | X_err: 0 | Y_err: 0 | Z_err: 0.4 | Theta_err: 0.0
Time: 2.4002 | X_err: 0 | Y_err: 0 | Z_err: 0.4 | Theta_err: 0.0
Time: 2.4502 | X_err: 0 | Y_err: 0 | Z_err: 0.4 | Theta_err: 0.0
Time: 2.5002 | X_err: 0 | Y_err: 0 | Z_err: 0.4 | Theta_err: 0.0
Time: 2.5502 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.6002 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.6502 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.7002 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.7502 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.8002 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.8502 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.9002 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 2.9502 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
Time: 3.0002 | X_err: 0 | Y_err: 0 | Z_err: 0.3 | Theta_err: 0.0
